frame,object_id,speed_m_s,speed_kmh
1,0,12.000,43.20
1,1,6.000,21.60
1,2,0.000,0.00
1,3,26.833,96.60
1,4,6.000,21.60
1,5,13.416,48.30
1,6,6.000,21.60
1,7,6.000,21.60
1,9,34.986,125.95
1,10,8.485,30.55
2,0,12.000,43.20
2,1,3.000,10.80
2,2,6.708,24.15
2,3,24.187,87.07
2,4,6.000,21.60
2,5,16.155,58.16
2,6,3.000,10.80
2,7,6.000,21.60
2,9,34.986,125.95
2,10,6.708,24.15
3,0,10.198,36.71
3,1,2.828,10.18
3,2,6.325,22.77
3,3,25.060,90.22
3,4,6.325,22.77
3,5,14.142,50.91
3,6,4.472,16.10
3,7,6.000,21.60
3,9,36.056,129.80
3,10,8.246,29.69
4,0,10.920,39.31
4,1,2.121,7.64
4,2,4.743,17.08
4,3,24.965,89.87
4,4,6.185,22.26
4,5,12.369,44.53
4,6,3.354,12.07
4,7,6.000,21.60
4,9,41.189,148.28
4,10,6.185,22.26
5,0,12.528,45.10
5,1,1.697,6.11
5,2,4.948,17.81
5,3,26.345,94.84
5,4,7.299,26.28
5,5,13.682,49.26
5,6,4.327,15.58
5,7,6.000,21.60
5,9,41.189,148.28
5,10,8.736,31.45
6,0,12.649,45.54
6,1,2.828,10.18
6,2,5.385,19.39
6,3,25.554,91.99
6,4,7.071,25.46
6,5,15.297,55.07
6,6,3.606,12.98
6,7,6.000,21.60
6,9,41.189,148.28
6,10,9.220,33.19
7,0,12.480,44.93
7,1,3.090,11.13
7,2,5.421,19.52
7,3,28.077,101.08
7,4,6.911,24.88
7,5,15.189,54.68
7,6,4.286,15.43
7,7,6.000,21.60
7,9,41.189,148.28
7,10,7.323,26.36
8,0,13.290,47.84
8,1,3.354,12.07
8,2,5.460,19.66
8,3,27.912,100.48
8,4,6.792,24.45
8,5,15.297,55.07
8,6,3.750,13.50
8,7,6.000,21.60
8,9,41.189,148.28
8,10,8.078,29.08
9,0,12.649,45.54
9,1,2.981,10.73
9,2,5.375,19.35
9,3,29.273,105.38
9,4,7.454,26.83
9,5,15.563,56.03
9,6,3.887,13.99
9,7,6.000,21.60
9,9,41.189,148.28
9,10,6.566,23.64
10,0,12.924,46.53
10,1,3.231,11.63
10,2,5.367,19.32
10,3,29.844,107.44
10,4,7.299,26.28
10,5,15.886,57.19
10,6,3.842,13.83
10,7,6.000,21.60
10,9,41.189,148.28
10,10,7.250,26.10
11,0,12.769,45.97
11,1,3.181,11.45
11,2,5.372,19.34
11,3,30.311,109.12
11,4,7.277,26.20
11,5,16.052,57.79
11,6,3.933,14.16
11,7,6.000,21.60
11,9,41.189,148.28
11,10,7.091,25.53
12,0,13.285,47.83
12,1,2.915,10.50
12,2,6.042,21.75
12,3,31.816,114.54
12,4,7.159,25.77
12,5,16.194,58.30
12,6,3.606,12.98
12,7,6.000,21.60
12,9,41.189,148.28
12,10,6.964,25.07
13,0,13.885,49.98
13,1,3.515,12.65
13,2,6.000,21.60
13,3,32.059,115.41
13,4,7.612,27.40
13,5,16.389,59.00
13,6,3.605,12.98
13,7,6.000,21.60
13,9,41.189,148.28
13,10,7.737,27.85
14,0,14.246,51.29
14,1,4.066,14.64
14,2,6.136,22.09
14,3,33.225,119.61
14,4,7.594,27.34
14,5,16.981,61.13
14,6,3.347,12.05
14,7,6.000,21.60
14,9,41.189,148.28
14,10,7.594,27.34
15,0,14.187,51.07
15,1,3.795,13.66
15,2,6.093,21.93
15,3,34.035,122.53
15,4,7.473,26.90
15,5,16.919,60.91
15,6,3.774,13.58
15,7,6.000,21.60
15,9,41.189,148.28
15,10,7.211,25.96
16,0,14.485,52.15
16,1,3.915,14.09
16,2,5.712,20.56
16,3,34.281,123.41
16,4,7.830,28.19
16,5,18.140,65.30
16,6,3.861,13.90
16,7,6.000,21.60
16,9,41.189,148.28
16,10,6.894,24.82
16,11,7.068,25.45
17,0,14.625,52.65
17,1,3.685,13.27
17,2,5.842,21.03
17,3,34.199,123.12
17,4,7.708,27.75
17,5,18.124,65.25
17,6,3.476,12.51
17,7,6.000,21.60
17,9,41.189,148.28
17,10,7.370,26.53
17,11,7.115,25.61
18,0,14.670,52.81
18,1,3.801,13.68
18,2,5.821,20.96
18,3,34.132,122.88
18,4,7.601,27.36
18,5,18.774,67.58
18,6,3.727,13.42
18,7,6.000,21.60
18,9,41.189,148.28
18,10,7.696,27.70
18,11,6.960,25.06
19,0,14.896,53.62
19,1,4.213,15.17
19,2,5.806,20.90
19,3,33.984,122.34
19,4,7.201,25.92
19,5,19.042,68.55
19,6,3.683,13.26
19,7,6.000,21.60
19,9,41.189,148.28
19,10,7.592,27.33
19,11,6.264,22.55
20,0,15.487,55.75
20,1,3.946,14.21
20,2,5.909,21.27
20,3,34.285,123.43
20,4,7.500,27.00
20,5,19.052,68.59
20,6,3.912,14.08
20,7,6.000,21.60
20,9,41.189,148.28
20,10,7.500,27.00
20,11,6.747,24.29
21,0,15.652,56.35
21,1,4.041,14.55
21,2,5.628,20.26
21,3,34.011,122.44
21,4,7.418,26.70
21,5,19.279,69.40
21,6,3.833,13.80
21,7,6.000,21.60
21,9,41.189,148.28
21,10,7.500,27.00
21,11,6.801,24.48
22,0,15.961,57.46
22,1,4.127,14.86
22,2,5.734,20.64
22,3,33.433,120.36
22,4,7.504,27.01
22,5,24.371,87.73
22,6,4.027,14.50
22,7,6.000,21.60
22,9,41.189,148.28
22,10,7.680,27.65
22,11,6.801,24.48
23,0,16.182,58.26
23,1,4.182,15.06
23,2,5.960,21.46
23,3,33.433,120.36
23,4,7.424,26.73
23,5,18.929,68.14
23,6,3.982,14.34
23,7,6.000,21.60
23,9,41.189,148.28
23,10,7.672,27.62
23,11,6.801,24.48
24,0,16.298,58.67
24,1,4.257,15.33
24,2,5.815,20.93
24,3,33.433,120.36
24,4,7.591,27.33
24,5,18.916,68.10
24,6,3.816,13.74
24,7,6.000,21.60
24,9,41.189,148.28
24,10,7.830,28.19
24,11,6.801,24.48
25,0,16.714,60.17
25,1,4.327,15.58
25,2,5.800,20.88
25,3,33.433,120.36
25,4,7.589,27.32
25,5,17.955,64.64
25,6,3.870,13.93
25,7,6.000,21.60
25,9,41.189,148.28
25,10,7.684,27.66
25,11,6.801,24.48
26,0,17.016,61.26
26,1,4.391,15.81
26,2,5.676,20.43
26,3,33.433,120.36
26,4,7.517,27.06
26,5,18.248,65.69
26,6,3.923,14.12
26,7,6.000,21.60
26,9,41.189,148.28
26,10,7.671,27.62
26,11,6.801,24.48
27,0,17.167,61.80
27,1,4.450,16.02
27,2,5.765,20.75
27,3,33.433,120.36
27,4,7.663,27.59
27,5,17.228,62.02
27,6,3.975,14.31
27,7,6.000,21.60
27,9,41.189,148.28
27,10,7.601,27.36
27,11,6.801,24.48
28,0,17.431,62.75
28,1,4.500,16.20
28,2,5.661,20.38
28,3,33.433,120.36
28,4,7.658,27.57
28,5,16.734,60.24
28,6,3.863,13.91
28,7,6.000,21.60
28,9,41.189,148.28
28,10,7.744,27.88
28,11,6.691,24.09
29,0,17.751,63.90
29,1,4.556,16.40
29,2,5.749,20.69
29,3,33.433,120.36
29,4,7.460,26.86
29,5,15.953,57.43
29,6,3.996,14.39
29,7,6.000,21.60
29,9,41.189,148.28
29,10,7.531,27.11
29,11,6.641,23.91
30,0,18.165,65.39
30,1,4.617,16.62
30,2,5.459,19.65
30,3,33.433,120.36
30,4,7.400,26.64
30,5,16.082,57.90
30,6,3.863,13.91
30,7,6.000,21.60
30,9,41.189,148.28
30,10,7.616,27.42
30,11,6.958,25.05
31,0,18.621,67.04
31,1,4.468,16.09
31,2,5.546,19.96
31,3,33.433,120.36
31,4,7.590,27.33
31,5,15.411,55.48
31,6,3.919,14.11
31,7,6.000,21.60
31,9,41.189,148.28
31,10,7.418,26.71
31,11,6.991,25.17
32,0,18.941,68.19
32,1,4.721,17.00
32,2,5.628,20.26
32,3,33.433,120.36
32,4,7.593,27.34
32,5,15.481,55.73
32,6,3.915,14.09
32,7,6.000,21.60
32,9,41.189,148.28
32,10,7.368,26.52
32,11,7.177,25.84
33,0,19.280,69.41
33,1,4.783,17.22
33,2,5.616,20.22
33,3,33.433,120.36
33,4,7.534,27.12
33,5,15.481,55.73
33,6,3.915,14.09
33,7,6.000,21.60
33,9,41.189,148.28
33,10,7.320,26.35
33,11,6.878,24.76
33,12,18.000,64.80
34,0,19.664,70.79
34,1,4.846,17.44
34,2,5.691,20.49
34,3,33.433,120.36
34,4,7.479,26.92
34,5,14.917,53.70
34,6,3.915,14.09
34,7,6.000,21.60
34,9,41.189,148.28
34,10,7.619,27.43
34,11,6.910,24.88
34,12,18.000,64.80
35,0,20.025,72.09
35,1,4.876,17.55
35,2,5.528,19.90
35,3,16.049,57.78
35,4,7.589,27.32
35,5,14.917,53.70
35,6,3.915,14.09
35,7,6.000,21.60
35,10,7.568,27.25
35,11,6.942,24.99
35,12,18.000,64.80
35,14,18.000,64.80
36,0,20.366,73.32
36,1,4.905,17.66
36,2,5.603,20.17
36,3,15.568,56.04
36,4,7.433,26.76
36,5,14.917,53.70
36,6,3.915,14.09
36,10,7.520,27.07
36,11,6.892,24.81
36,12,18.000,64.80
36,14,18.000,64.80
37,0,20.783,74.82
37,1,5.092,18.33
37,2,5.451,19.62
37,3,14.948,53.81
37,4,7.440,26.78
37,5,14.917,53.70
37,6,3.915,14.09
37,10,7.634,27.48
37,11,6.847,24.65
37,12,18.000,64.80
37,14,18.000,64.80
38,0,21.289,76.64
38,1,5.141,18.51
38,2,5.445,19.60
38,3,14.732,53.03
38,4,7.392,26.61
38,5,14.917,53.70
38,6,3.915,14.09
38,10,7.587,27.31
38,11,6.806,24.50
38,12,18.000,64.80
38,14,18.000,64.80
39,0,21.627,77.86
39,1,5.190,18.68
39,2,5.676,20.43
39,3,14.406,51.86
39,4,7.401,26.64
39,5,14.917,53.70
39,6,3.915,14.09
39,10,7.576,27.27
39,11,6.835,24.61
39,12,18.000,64.80
39,14,18.000,64.80
40,0,21.476,77.31
40,1,5.385,19.39
40,2,5.534,19.92
40,3,14.406,51.86
40,4,7.409,26.67
40,5,14.917,53.70
40,6,3.915,14.09
40,10,7.649,27.53
40,11,6.865,24.71
40,12,18.000,64.80
40,14,18.000,64.80
40,15,18.000,64.80
41,0,21.524,77.49
41,1,5.540,19.94
41,2,5.399,19.44
41,3,14.406,51.86
41,4,7.452,26.83
41,5,14.917,53.70
41,6,3.915,14.09
41,10,7.579,27.28
41,11,7.001,25.20
41,12,18.000,64.80
41,14,18.000,64.80
41,15,15.000,54.00
42,0,21.516,77.46
42,1,5.440,19.58
42,2,5.468,19.68
42,3,14.406,51.86
42,4,7.508,27.03
42,5,14.917,53.70
42,6,3.915,14.09
42,10,7.705,27.74
42,11,6.854,24.67
42,12,18.000,64.80
42,14,18.000,64.80
42,15,16.000,57.60
43,0,21.639,77.90
43,1,5.753,20.71
43,2,5.534,19.92
43,3,12.855,46.28
43,4,7.463,26.87
43,5,14.917,53.70
43,6,3.915,14.09
43,10,7.639,27.50
43,11,6.981,25.13
43,12,18.000,64.80
43,14,18.000,64.80
43,15,16.500,59.40
44,0,21.326,76.77
44,1,5.657,20.37
44,2,5.408,19.47
44,3,12.855,46.28
44,4,7.597,27.35
44,5,14.917,53.70
44,6,3.915,14.09
44,10,7.579,27.28
44,11,6.981,25.13
44,12,18.000,64.80
44,14,18.000,64.80
44,15,19.237,69.25
44,16,8.246,29.69
45,0,21.499,77.40
45,1,5.824,20.97
45,2,5.473,19.70
45,3,12.855,46.28
45,4,7.477,26.92
45,5,14.917,53.70
45,6,3.915,14.09
45,10,7.716,27.78
45,11,6.981,25.13
45,12,18.000,64.80
45,14,18.000,64.80
45,15,19.026,68.49
45,16,8.246,29.69
46,0,21.499,77.40
46,1,5.859,21.09
46,2,5.428,19.54
46,3,12.855,46.28
46,4,7.485,26.95
46,5,14.917,53.70
46,6,3.915,14.09
46,10,7.785,28.02
46,11,8.790,31.64
46,12,18.000,64.80
46,14,18.000,64.80
46,15,17.228,62.02
46,16,8.246,29.69
47,0,21.499,77.40
47,1,6.016,21.66
47,2,5.313,19.13
47,3,12.855,46.28
47,4,7.444,26.80
47,5,14.917,53.70
47,6,3.915,14.09
47,10,7.619,27.43
47,11,8.754,31.52
47,12,18.000,64.80
47,14,18.000,64.80
47,15,17.396,62.63
47,16,8.246,29.69
48,0,21.499,77.40
48,1,6.130,22.07
48,2,5.450,19.62
48,3,12.855,46.28
48,4,7.405,26.66
48,5,14.917,53.70
48,6,3.915,14.09
48,10,7.708,27.75
48,11,8.754,31.52
48,12,18.000,64.80
48,14,18.000,64.80
48,15,17.448,62.81
48,16,8.246,29.69
49,0,21.499,77.40
49,1,6.158,22.17
49,2,5.339,19.22
49,3,12.855,46.28
49,4,7.413,26.69
49,5,14.917,53.70
49,6,3.915,14.09
49,10,7.914,28.49
49,11,8.754,31.52
49,12,18.000,64.80
49,14,18.000,64.80
49,15,16.971,61.09
49,16,8.246,29.69
49,17,6.000,21.60
50,0,21.499,77.40
50,1,6.264,22.55
50,2,5.304,19.10
50,3,12.855,46.28
50,4,7.532,27.12
50,5,14.917,53.70
50,6,3.915,14.09
50,10,7.874,28.35
50,11,8.754,31.52
50,12,18.000,64.80
50,14,18.000,64.80
50,15,17.049,61.38
50,16,8.246,29.69
50,17,6.000,21.60
51,0,21.499,77.40
51,1,6.288,22.64
51,2,5.366,19.32
51,3,12.855,46.28
51,4,7.450,26.82
51,5,14.917,53.70
51,6,3.915,14.09
51,10,7.953,28.63
51,11,8.754,31.52
51,12,18.000,64.80
51,14,18.000,64.80
51,15,17.678,63.64
51,16,8.246,29.69
51,17,6.000,21.60
52,0,21.499,77.40
52,1,6.312,22.72
52,2,5.334,19.20
52,3,12.855,46.28
52,4,7.456,26.84
52,5,14.917,53.70
52,6,3.915,14.09
52,10,7.915,28.49
52,11,8.754,31.52
52,12,18.000,64.80
52,14,18.000,64.80
52,15,17.232,62.04
52,16,8.246,29.69
52,17,6.185,22.26
53,0,21.499,77.40
53,1,6.444,23.20
53,2,5.163,18.59
53,3,12.855,46.28
53,4,7.463,26.87
53,5,14.917,53.70
53,6,3.915,14.09
53,10,8.102,29.17
53,11,8.754,31.52
53,12,18.000,64.80
53,14,18.000,64.80
53,15,17.276,62.19
53,16,8.246,29.69
53,17,6.185,22.26
54,0,21.499,77.40
54,1,6.676,24.03
54,2,5.136,18.49
54,3,12.855,46.28
54,4,7.470,26.89
54,5,14.917,53.70
54,6,3.915,14.09
54,10,8.049,28.98
54,11,8.754,31.52
54,12,18.000,64.80
54,14,18.000,64.80
54,15,16.971,61.09
54,16,9.242,33.27
54,17,6.185,22.26
55,0,21.499,77.40
55,1,6.693,24.09
55,2,5.128,18.46
55,3,12.855,46.28
55,4,7.477,26.92
55,5,14.917,53.70
55,6,3.915,14.09
55,10,8.120,29.23
55,11,8.754,31.52
55,12,18.000,64.80
55,14,18.000,64.80
55,15,17.078,61.48
55,16,9.242,33.27
55,17,6.528,23.50
56,0,21.499,77.40
56,1,6.847,24.65
56,2,5.104,18.37
56,3,12.855,46.28
56,4,7.442,26.79
56,5,14.917,53.70
56,6,3.915,14.09
56,10,8.081,29.09
56,11,8.754,31.52
56,12,18.000,64.80
56,14,18.000,64.80
56,15,17.470,62.89
56,16,8.809,31.71
56,17,5.712,20.56
56,19,12.000,43.20
57,0,21.499,77.40
57,1,6.961,25.06
57,2,5.014,18.05
57,3,12.855,46.28
57,4,7.492,26.97
57,5,14.917,53.70
57,6,3.915,14.09
57,10,8.081,29.09
57,11,8.754,31.52
57,12,18.000,64.80
57,14,18.000,64.80
57,15,17.537,63.13
57,16,8.809,31.71
57,17,5.696,20.51
57,19,9.000,32.40
58,0,21.499,77.40
58,1,7.071,25.46
58,2,5.008,18.03
58,3,12.855,46.28
58,4,7.458,26.85
58,5,14.917,53.70
58,6,3.915,14.09
58,10,8.081,29.09
58,11,8.754,31.52
58,12,18.000,64.80
58,14,18.000,64.80
58,15,17.599,63.36
58,16,8.809,31.71
58,17,5.692,20.49
58,19,10.770,38.77
59,0,21.499,77.40
59,1,7.082,25.50
59,2,4.909,17.67
59,3,12.855,46.28
59,4,7.465,26.88
59,5,14.917,53.70
59,6,3.915,14.09
59,10,8.379,30.16
59,11,8.754,31.52
59,12,18.000,64.80
59,14,18.000,64.80
59,15,17.905,64.46
59,16,8.809,31.71
59,17,5.875,21.15
59,19,8.746,31.49
60,0,21.499,77.40
60,1,7.346,26.45
60,2,5.052,18.19
60,3,12.855,46.28
60,4,7.508,27.03
60,5,14.917,53.70
60,6,3.915,14.09
60,10,8.429,30.34
60,11,8.754,31.52
60,12,18.000,64.80
60,14,18.000,64.80
60,15,18.272,65.78
60,16,8.809,31.71
60,17,5.852,21.07
60,19,10.733,38.64
61,0,21.499,77.40
61,1,7.573,27.26
61,2,4.966,17.88
61,3,12.855,46.28
61,4,7.508,27.03
61,5,14.917,53.70
61,6,3.915,14.09
61,10,8.487,30.55
61,11,8.754,31.52
61,12,18.000,64.80
61,14,18.000,64.80
61,15,18.248,65.69
61,16,8.809,31.71
61,17,6.192,22.29
61,19,9.849,35.46
62,0,21.499,77.40
62,1,7.799,28.08
62,2,4.962,17.86
62,3,12.855,46.28
62,4,7.465,26.88
62,5,14.917,53.70
62,6,3.915,14.09
62,10,8.683,31.26
62,11,8.754,31.52
62,12,18.000,64.80
62,14,18.000,64.80
62,15,18.485,66.55
62,16,8.809,31.71
62,17,6.136,22.09
62,19,9.232,33.23
63,0,21.499,77.40
63,1,8.065,29.04
63,2,5.036,18.13
63,3,12.855,46.28
63,4,7.508,27.03
63,5,14.917,53.70
63,10,8.676,31.23
63,11,8.754,31.52
63,12,18.000,64.80
63,13,0.566,2.04
63,14,18.000,64.80
63,15,18.485,66.55
63,16,0.862,3.10
63,17,6.093,21.93
63,19,9.750,35.10
64,0,21.499,77.40
64,1,8.292,29.85
64,2,4.962,17.86
64,3,12.855,46.28
64,4,7.459,26.85
64,5,14.917,53.70
64,10,8.774,31.59
64,11,8.754,31.52
64,13,1.224,4.41
64,14,18.000,64.80
64,15,18.485,66.55
64,16,0.862,3.10
64,17,6.207,22.35
64,19,10.154,36.56
65,0,21.499,77.40
65,1,8.467,30.48
65,2,4.892,17.61
65,3,12.855,46.28
65,4,7.504,27.01
65,10,8.964,32.27
65,11,8.754,31.52
65,13,2.096,7.55
65,14,18.000,64.80
65,15,18.485,66.55
65,16,0.862,3.10
65,17,6.164,22.19
65,19,9.932,35.75
66,0,21.499,77.40
66,1,8.694,31.30
66,2,4.898,17.63
66,3,12.855,46.28
66,4,7.550,27.18
66,10,8.959,32.25
66,11,8.754,31.52
66,13,2.727,9.82
66,15,18.485,66.55
66,16,0.862,3.10
66,17,5.963,21.47
66,19,10.028,36.10
67,0,21.499,77.40
67,1,8.871,31.94
67,2,4.831,17.39
67,3,12.855,46.28
67,4,7.550,27.18
67,10,8.959,32.25
67,11,8.754,31.52
67,13,3.529,12.71
67,15,18.485,66.55
67,16,0.862,3.10
67,17,6.074,21.87
67,19,10.028,36.10
67,20,13.416,48.30
68,0,21.499,77.40
68,1,8.871,31.94
68,2,4.831,17.39
68,3,12.855,46.28
68,4,7.460,26.86
68,10,9.251,33.30
68,11,8.754,31.52
68,13,4.289,15.44
68,15,18.485,66.55
68,16,0.862,3.10
68,17,6.037,21.73
68,19,10.028,36.10
68,20,10.817,38.94
68,21,16.971,61.09
69,0,21.499,77.40
69,1,8.871,31.94
69,2,4.909,17.67
69,3,12.855,46.28
69,4,7.418,26.71
69,10,9.346,33.65
69,11,8.754,31.52
69,13,5.003,18.01
69,15,18.485,66.55
69,16,2.143,7.71
69,17,6.135,22.08
69,19,10.028,36.10
69,20,10.000,36.00
69,21,16.971,61.09
69,23,16.971,61.09
70,0,21.499,77.40
70,1,8.871,31.94
70,2,4.844,17.44
70,3,12.855,46.28
70,4,7.418,26.71
70,10,9.740,35.06
70,11,8.754,31.52
70,13,5.523,19.88
70,15,18.485,66.55
70,16,2.143,7.71
70,17,6.098,21.95
70,19,10.028,36.10
70,20,8.746,31.49
70,21,16.971,61.09
70,23,16.971,61.09
70,24,16.971,61.09
71,0,21.499,77.40
71,1,8.871,31.94
71,2,4.741,17.07
71,3,12.855,46.28
71,4,7.418,26.71
71,10,9.836,35.41
71,11,8.754,31.52
71,13,6.481,23.33
71,15,18.485,66.55
71,16,2.143,7.71
71,17,6.068,21.84
71,19,10.028,36.10
71,20,11.321,40.75
71,21,16.971,61.09
71,23,16.971,61.09
71,24,17.493,62.97
72,0,21.499,77.40
72,1,8.871,31.94
72,2,4.741,17.07
72,3,12.855,46.28
72,4,7.379,26.56
72,10,9.934,35.76
72,11,8.754,31.52
72,13,7.257,26.12
72,15,18.485,66.55
72,16,2.143,7.71
72,17,5.815,20.93
72,19,10.028,36.10
72,20,11.662,41.98
72,21,16.971,61.09
72,23,16.971,61.09
72,24,16.125,58.05
73,0,21.499,77.40
73,1,8.871,31.94
73,2,4.682,16.86
73,3,12.855,46.28
73,4,7.379,26.56
73,10,10.132,36.47
73,11,8.754,31.52
73,13,7.836,28.21
73,15,18.485,66.55
73,16,2.143,7.71
73,17,5.903,21.25
73,19,10.028,36.10
73,20,11.500,41.40
73,21,16.971,61.09
73,23,16.971,61.09
73,24,17.493,62.97
74,0,21.499,77.40
74,1,8.871,31.94
74,2,4.744,17.08
74,4,7.379,26.56
74,10,10.132,36.47
74,11,8.754,31.52
74,13,8.665,31.19
74,15,18.485,66.55
74,16,2.143,7.71
74,17,5.883,21.18
74,19,10.028,36.10
74,20,11.739,42.26
74,21,16.971,61.09
74,23,16.971,61.09
74,24,18.974,68.31
75,0,21.499,77.40
75,1,6.385,22.99
75,2,4.744,17.08
75,4,7.291,26.25
75,10,10.328,37.18
75,11,8.754,31.52
75,13,9.183,33.06
75,15,18.485,66.55
75,16,2.143,7.71
75,17,5.867,21.12
75,19,10.028,36.10
75,20,11.926,42.93
75,21,16.971,61.09
75,23,16.971,61.09
75,24,19.416,69.90
76,1,6.465,23.28
76,2,4.692,16.89
76,4,7.255,26.12
76,10,10.725,38.61
76,11,8.754,31.52
76,13,9.539,34.34
76,15,18.485,66.55
76,16,4.827,17.38
76,17,5.750,20.70
76,19,10.028,36.10
76,20,11.926,42.93
76,21,16.971,61.09
76,23,16.971,61.09
76,24,20.446,73.61
77,1,6.631,23.87
77,2,4.822,17.36
77,4,7.309,26.31
77,10,11.023,39.68
77,11,8.754,31.52
77,13,9.743,35.08
77,15,18.485,66.55
77,16,4.972,17.90
77,17,5.830,20.99
77,19,10.028,36.10
77,20,11.926,42.93
77,21,7.892,28.41
77,23,16.971,61.09
77,24,20.594,74.14
78,1,6.631,23.87
78,2,4.775,17.19
78,4,7.449,26.82
78,10,11.122,40.04
78,13,9.911,35.68
78,15,18.485,66.55
78,16,4.961,17.86
78,17,5.814,20.93
78,19,10.028,36.10
78,20,11.926,42.93
78,21,6.025,21.69
78,23,16.971,61.09
78,24,20.352,73.27
78,26,13.416,48.30
79,1,6.631,23.87
79,2,4.781,17.21
79,4,7.363,26.51
79,10,11.318,40.75
79,13,10.112,36.40
79,15,18.485,66.55
79,16,4.864,17.51
79,17,5.887,21.19
79,19,10.028,36.10
79,20,11.926,42.93
79,21,4.031,14.51
79,23,6.025,21.69
79,24,20.802,74.89
79,26,13.416,48.30
80,1,6.631,23.87
80,2,4.781,17.21
80,4,7.333,26.40
80,10,11.519,41.47
80,13,10.182,36.66
80,15,18.485,66.55
80,16,4.858,17.49
80,17,5.703,20.53
80,19,10.028,36.10
80,20,11.926,42.93
80,21,4.031,14.51
80,23,5.000,18.00
80,24,21.336,76.81
80,26,13.416,48.30
81,1,6.631,23.87
81,2,4.835,17.40
81,4,7.192,25.89
81,10,11.720,42.19
81,13,10.607,38.18
81,15,18.485,66.55
81,16,5.006,18.02
81,17,5.775,20.79
81,19,10.028,36.10
81,20,11.926,42.93
81,21,4.031,14.51
81,23,3.360,12.10
81,24,22.051,79.38
81,26,13.416,48.30
82,1,6.631,23.87
82,2,4.824,17.37
82,4,7.165,25.79
